method,dataset,reference_total,aml_total,rejected_correct,accepted_aml_fp
AROM,confOf-ekaw,20,16,0,1
CoMerger,confOf-ekaw,20,16,0,1
Boomer,confOf-ekaw,20,16,1,1
Proposed: gpt-oss,confOf-ekaw,20,16,2,0
AROM,human-mouse,1516,1396,0,60
CoMerger,human-mouse,1516,1396,0,60
Boomer,human-mouse,1516,1396,27,59
Proposed: gpt-oss,human-mouse,1516,1396,43,37
AROM,swo-acm,30,43,0,13
Boomer,swo-acm,30,43,21,5
Proposed: gpt-oss,swo-acm,30,43,3,4
Proposed: deepseek-v4-flash,confOf-ekaw,20,16,3,0
Proposed: deepseek-v4-flash,human-mouse,1516,1396,67,36
Proposed: deepseek-v4-flash,swo-acm,30,43,3,2
